Region,Atmospheric Condition,Area,Roadway,Age,Alcohol Results,Person Type,Drug Involvement,Gender,Injury Severity
Midwest,Clear,Urban,Collector,18,Unknown,Passenger of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
Midwest,Clear,Urban,Collector,29,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,43,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,73,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,93,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,38,No,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Midwest,Clear,Urban,Collector,29,No,Driver of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
Midwest,Clear,Urban,Collector,16,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Incapacitating Injury (A)
Midwest,Clear,Urban,Collector,28,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Incapacitating Injury (A)
Midwest,Clear,Urban,Collector,18,Yes,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,22,Yes,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,25,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,27,Yes,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Midwest,Clear,Urban,Collector,19,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Incapacitating Injury (A)
Midwest,Clear,Urban,Collector,23,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Incapacitating Injury (A)
Midwest,Clear,Urban,Collector,25,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Non-incapacitating Evident Injury (B)
Midwest,Clear,Urban,Collector,29,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Possible Injury (C)
Midwest,Clear,Urban,Collector,56,Unknown,Pedestrian,Unknown,Female,Fatal Injury (K)
Midwest,Clear,Urban,Collector,78,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
Midwest,Clear,Urban,Collector,26,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,18,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,25,Yes,Pedestrian,No,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,42,Yes,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,59,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,70,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,51,No,Driver of a Motor Vehicle In-Transport,No,Male,No Injury (O)
Northeast,Clear,Urban,Collector,63,No,Driver of a Motor Vehicle In-Transport,Unknown,Female,Fatal Injury (K)
Northeast,Clear,Urban,Collector,21,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Incapacitating Injury (A)
Northeast,Clear,Urban,Collector,35,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Incapacitating Injury (A)
Northeast,Clear,Urban,Collector,17,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
Northeast,Clear,Urban,Collector,23,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
Northeast,Clear,Urban,Collector,47,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,No Injury (O)
Northeast,Clear,Urban,Collector,23,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Female,Non-incapacitating Evident Injury (B)
Northeast,Clear,Urban,Collector,38,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Non-incapacitating Evident Injury (B)
Northeast,Clear,Urban,Collector,65,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Female,Possible Injury (C)
Northeast,Clear,Urban,Collector,24,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,40,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,52,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,67,No,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,82,Yes,Driver of a Motor Vehicle In-Transport,Unknown,Male,Fatal Injury (K)
Northeast,Clear,Urban,Collector,14,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Incapacitating Injury (A)
Northeast,Clear,Urban,Collector,40,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
Northeast,Clear,Urban,Collector,50,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,No Injury (O)
Northeast,Clear,Urban,Collector,4,Unknown,Passenger of a Motor Vehicle In-Transport,Unknown,Male,Non-incapacitating Evident Injury (B)
Northeast,Clear,Urban,Collector,24,Unknown,Driver of a Motor Vehicle In-Transport,Unknown,Male,Possible Injury (C)
Northeast,Clear,Urban,Collector,69,No,Driver of a Motor Vehicle In-Transport,Yes,Female,No Injury (O)
Northeast,Clear,Urban,Collector,46,Yes,Driver of a Motor Vehicle In-Transport,Yes,Female,Non-incapacitating Evident Injury (B)
South,Clear,Urban,Collector,33,Yes,Driver of a Motor Vehicle In-Transport,No,Female,Fatal Injury (K)
South,Clear,Urban,Collector,42,Unknown,Driver of a Motor Vehicle In-Transport,No,Female,No Injury (O)
South,Clear,Urban,Collector,26,Unknown,Passenger of a Motor Vehicle In-Transport,No,Female,Non-incapacitating Evident Injury (B)
South,Clear,Urban,Collector,36,No,Pedestrian,No,Male,Fatal Injury (K)
South,Clear,Urban,Collector,39,No,Driver of a Motor Vehicle In-Transport,No,Male,Fatal Injury (K)
South,Clear,Urban,Collector,18,Unknown,Passenger of a Motor Vehicle In-Transport,No,Male,Incapacitating Injury (A)
